crop_path,split,class_name,image_path_abs,x,y,w,h,img_size,enhanced_before_crop
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1962_y987_w36_h25.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1962,987,36,25,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1210_y869_w15_h20.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1210,869,15,20,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1435_y893_w38_h12.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1435,893,38,12,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1585_y992_w12_h16.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1585,992,12,16,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1119_y865_w13_h20.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1119,865,13,20,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1879_y797_w29_h26.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1879,797,29,26,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/train/other-sign/KNTbwC2tgecMzLHFHqiv8g_x1894_y820_w13_h11.png,train,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KNTbwC2tgecMzLHFHqiv8g.jpg,1894,820,13,11,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x3473_y717_w130_h217.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,3473,717,130,217,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2172_y781_w8_h13.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2172,781,8,13,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x3714_y790_w25_h30.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,3714,790,25,30,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2161_y782_w6_h16.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2161,782,6,16,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x3700_y783_w52_h52.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,3700,783,52,52,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2447_y716_w10_h14.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2447,716,10,14,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x3722_y835_w45_h32.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,3722,835,45,32,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2458_y785_w10_h13.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2458,785,10,13,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2147_y789_w7_h11.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2147,789,7,11,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x1309_y752_w17_h23.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,1309,752,17,23,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2460_y711_w11_h16.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2460,711,11,16,128,True
/home/hkamble2/msa8395_project2/notebooks/results/subset/crops/val/other-sign/KOVEitqtwwnA9wbdYmQBgw_x2131_y743_w156_h98.png,val,other-sign,/data/project/MSA8395/mapillary_traffic_sign_dataset/images/KOVEitqtwwnA9wbdYmQBgw.jpg,2131,743,156,98,128,True
